id,avgscore,level,class,file,,,,,,,
759,7.58,high,4,759.jpg,,,,,,,
771,6.76,high,3,771.jpg,,,,,,,
774,6.37,high,3,774.jpg,,,,,,,
775,3.62,low,2,775.jpg,,,,,,,
780,4.36,low,2,780.jpg,,,,,,,
788,3.75,low,2,788.jpg,,,,,,,
789,6.68,high,3,789.jpg,,,,,,,
796,3.66,low,2,796.jpg,,,,,,,
803,3.65,low,2,803.jpg,,,,,,,
818,4.35,low,2,818.jpg,,,,,,,
827,6.67,high,3,827.jpg,,,,,,,
834,4.04,low,2,834.jpg,,,,,,,
841,7.41,high,4,841.jpg,,,,,,,
843,7.27,high,4,843.jpg,,,,,,,
844,6.68,high,3,844.jpg,,,,,,,
845,7.82,high,4,845.jpg,,,,,,,
848,6.48,high,3,848.jpg,,,,,,,
858,6.91,high,3,858.jpg,,,,,,,
859,6.6,high,3,859.jpg,,,,,,,
861,6.33,high,3,861.jpg,,,,,,,
862,7.4,high,4,862.jpg,,,,,,,
869,3.74,low,2,869.jpg,,,,,,,
875,6.61,high,3,875.jpg,,,,,,,
876,4.43,low,2,876.jpg,,,,,,,
877,2.62,low,1,877.jpg,,,,,,,
883,3.34,low,2,883.jpg,,,,,,,
884,3.13,low,2,884.jpg,,,,,,,
887,2.92,low,1,887.jpg,,,,,,,
888,6.77,high,3,888.jpg,,,,,,,
889,3.9,low,2,889.jpg,,,,,,,
890,3.37,low,2,890.jpg,,,,,,,
893,4.18,low,2,893.jpg,,,,,,,
896,6.34,high,3,896.jpg,,,,,,,
919,4.29,low,2,919.jpg,,,,,,,
921,2.83,low,1,921.jpg,,,,,,,
922,3.75,low,2,922.jpg,,,,,,,
926,6.38,high,3,926.jpg,,,,,,,
931,3.81,low,2,931.jpg,,,,,,,
943,2.6,low,1,943.jpg,,,,,,,
944,4.3,low,2,944.jpg,,,,,,,
946,8.04,high,4,946.jpg,,,,,,,
947,4.37,low,2,947.jpg,,,,,,,
949,4,low,2,949.jpg,,,,,,,
959,3.52,low,2,959.jpg,,,,,,,
978,6.47,high,3,978.jpg,,,,,,,
979,6.89,high,3,979.jpg,,,,,,,
983,6.74,high,3,983.jpg,,,,,,,
1006,6.39,high,3,1006.jpg,,,,,,,
1023,4.28,low,2,1023.jpg,,,,,,,
1025,6.4,high,3,1025.jpg,,,,,,,
1035,3.22,low,2,1035.jpg,,,,,,,
1036,3.96,low,2,1036.jpg,,,,,,,
1037,3.17,low,2,1037.jpg,,,,,,,
1042,4.39,low,2,1042.jpg,,,,,,,
1046,4.21,low,2,1046.jpg,,,,,,,
1047,4.42,low,2,1047.jpg,,,,,,,
1057,3.82,low,2,1057.jpg,,,,,,,
1100,3.87,low,2,1100.jpg,,,,,,,
1105,2.41,low,1,1105.jpg,,,,,,,
1118,6.71,high,3,1118.jpg,,,,,,,
1119,3.76,low,2,1119.jpg,,,,,,,
1121,4.12,low,2,1121.jpg,,,,,,,
1124,6.38,high,3,1124.jpg,,,,,,,
1127,3.47,low,2,1127.jpg,,,,,,,
1129,4.24,low,2,1129.jpg,,,,,,,
1132,6.68,high,3,1132.jpg,,,,,,,
1134,4.3,low,2,1134.jpg,,,,,,,
1139,4.14,low,2,1139.jpg,,,,,,,
1142,4.05,low,2,1142.jpg,,,,,,,
1144,4.1,low,2,1144.jpg,,,,,,,
1146,4.34,low,2,1146.jpg,,,,,,,
1154,4.39,low,2,1154.jpg,,,,,,,
1158,6.57,high,3,1158.jpg,,,,,,,
1160,3.6,low,2,1160.jpg,,,,,,,
1161,4.27,low,2,1161.jpg,,,,,,,
1164,7.47,high,4,1164.jpg,,,,,,,
1166,6.38,high,3,1166.jpg,,,,,,,
1169,4.41,low,2,1169.jpg,,,,,,,
1171,6.36,high,3,1171.jpg,,,,,,,
1175,6.43,high,3,1175.jpg,,,,,,,
1176,4.29,low,2,1176.jpg,,,,,,,
1178,3.93,low,2,1178.jpg,,,,,,,
1185,3.29,low,2,1185.jpg,,,,,,,
1194,4.09,low,2,1194.jpg,,,,,,,
1195,3.56,low,2,1195.jpg,,,,,,,
1199,4.33,low,2,1199.jpg,,,,,,,
1203,3.93,low,2,1203.jpg,,,,,,,
1204,4.37,low,2,1204.jpg,,,,,,,
1218,3.86,low,2,1218.jpg,,,,,,,
1224,4.05,low,2,1224.jpg,,,,,,,
1229,6.37,high,3,1229.jpg,,,,,,,
1238,4.34,low,2,1238.jpg,,,,,,,
1239,6.76,high,3,1239.jpg,,,,,,,
1244,4.38,low,2,1244.jpg,,,,,,,
1249,6.35,high,3,1249.jpg,,,,,,,
1253,3.52,low,2,1253.jpg,,,,,,,
1269,6.37,high,3,1269.jpg,,,,,,,
1270,6.57,high,3,1270.jpg,,,,,,,
1272,3.25,low,2,1272.jpg,,,,,,,
1273,4.27,low,2,1273.jpg,,,,,,,
1279,3.59,low,2,1279.jpg,,,,,,,
1280,4.42,low,2,1280.jpg,,,,,,,
1281,4.3,low,2,1281.jpg,,,,,,,
1282,3.67,low,2,1282.jpg,,,,,,,
1285,3.75,low,2,1285.jpg,,,,,,,
1288,3.87,low,2,1288.jpg,,,,,,,
1289,3.69,low,2,1289.jpg,,,,,,,
1297,4.26,low,2,1297.jpg,,,,,,,
1308,4.19,low,2,1308.jpg,,,,,,,
1310,3.53,low,2,1310.jpg,,,,,,,
1313,4.08,low,2,1313.jpg,,,,,,,
1316,3.45,low,2,1316.jpg,,,,,,,
1321,4.03,low,2,1321.jpg,,,,,,,
1322,4.28,low,2,1322.jpg,,,,,,,
1327,6.53,high,3,1327.jpg,,,,,,,
1329,4.24,low,2,1329.jpg,,,,,,,
1336,3.85,low,2,1336.jpg,,,,,,,
1348,4.4,low,2,1348.jpg,,,,,,,
1351,4.33,low,2,1351.jpg,,,,,,,
1354,3.67,low,2,1354.jpg,,,,,,,
1356,3.51,low,2,1356.jpg,,,,,,,
1357,4.24,low,2,1357.jpg,,,,,,,
1361,3.75,low,2,1361.jpg,,,,,,,
1378,4.19,low,2,1378.jpg,,,,,,,
1380,4.22,low,2,1380.jpg,,,,,,,
1384,6.89,high,3,1384.jpg,,,,,,,
1391,6.47,high,3,1391.jpg,,,,,,,
1394,6.57,high,3,1394.jpg,,,,,,,
1396,4.43,low,2,1396.jpg,,,,,,,
1404,6.94,high,3,1404.jpg,,,,,,,
1408,3.89,low,2,1408.jpg,,,,,,,
1409,3.89,low,2,1409.jpg,,,,,,,
1420,4,low,2,1420.jpg,,,,,,,
1421,4.28,low,2,1421.jpg,,,,,,,
1426,2.65,low,1,1426.jpg,,,,,,,
1427,4.12,low,2,1427.jpg,,,,,,,
1428,6.33,high,3,1428.jpg,,,,,,,
1433,6.82,high,3,1433.jpg,,,,,,,
1434,3.95,low,2,1434.jpg,,,,,,,
1435,4.43,low,2,1435.jpg,,,,,,,
1441,4.01,low,2,1441.jpg,,,,,,,
1449,4.42,low,2,1449.jpg,,,,,,,
1452,6.45,high,3,1452.jpg,,,,,,,
1456,3.82,low,2,1456.jpg,,,,,,,
1462,6.56,high,3,1462.jpg,,,,,,,
1463,7.09,high,4,1463.jpg,,,,,,,
1465,6.31,high,3,1465.jpg,,,,,,,
1466,6.65,high,3,1466.jpg,,,,,,,
1468,6.55,high,3,1468.jpg,,,,,,,
1469,4.37,low,2,1469.jpg,,,,,,,
1487,4.31,low,2,1487.jpg,,,,,,,
1493,7.56,high,4,1493.jpg,,,,,,,
1494,6.43,high,3,1494.jpg,,,,,,,
1498,6.88,high,3,1498.jpg,,,,,,,
1503,6.39,high,3,1503.jpg,,,,,,,
1504,3.87,low,2,1504.jpg,,,,,,,
1509,7.36,high,4,1509.jpg,,,,,,,
1510,3.7,low,2,1510.jpg,,,,,,,
1512,2.18,low,1,1512.jpg,,,,,,,
1517,3.82,low,2,1517.jpg,,,,,,,
1518,3.7,low,2,1518.jpg,,,,,,,
1524,4.42,low,2,1524.jpg,,,,,,,
1526,6.58,high,3,1526.jpg,,,,,,,
1532,4.38,low,2,1532.jpg,,,,,,,
1534,3,low,2,1534.jpg,,,,,,,
1535,4.37,low,2,1535.jpg,,,,,,,
1537,4.19,low,2,1537.jpg,,,,,,,
1544,3.35,low,2,1544.jpg,,,,,,,
1549,6.45,high,3,1549.jpg,,,,,,,
1553,3.91,low,2,1553.jpg,,,,,,,
1554,3.67,low,2,1554.jpg,,,,,,,
1558,6.84,high,3,1558.jpg,,,,,,,
1561,3.56,low,2,1561.jpg,,,,,,,
1570,3.78,low,2,1570.jpg,,,,,,,
1571,4.24,low,2,1571.jpg,,,,,,,
1572,4.46,low,2,1572.jpg,,,,,,,
1583,4.38,low,2,1583.jpg,,,,,,,
1584,3.05,low,2,1584.jpg,,,,,,,
1585,6.81,high,3,1585.jpg,,,,,,,
1586,4.3,low,2,1586.jpg,,,,,,,
1587,6.57,high,3,1587.jpg,,,,,,,
1590,6.62,high,3,1590.jpg,,,,,,,
1591,6.87,high,3,1591.jpg,,,,,,,
1595,6.55,high,3,1595.jpg,,,,,,,
1596,4.43,low,2,1596.jpg,,,,,,,
1597,4.45,low,2,1597.jpg,,,,,,,
1598,4.33,low,2,1598.jpg,,,,,,,
1600,6.45,high,3,1600.jpg,,,,,,,
1606,4.46,low,2,1606.jpg,,,,,,,
1609,6.44,high,3,1609.jpg,,,,,,,
1614,3.79,low,2,1614.jpg,,,,,,,
1615,6.84,high,3,1615.jpg,,,,,,,
1616,4.45,low,2,1616.jpg,,,,,,,
1618,4.35,low,2,1618.jpg,,,,,,,
1619,6.8,high,3,1619.jpg,,,,,,,
1620,4.44,low,2,1620.jpg,,,,,,,
1621,7.46,high,4,1621.jpg,,,,,,,
1622,4.3,low,2,1622.jpg,,,,,,,
1624,3.44,low,2,1624.jpg,,,,,,,
1625,4.12,low,2,1625.jpg,,,,,,,
1630,3.54,low,2,1630.jpg,,,,,,,
1635,4.3,low,2,1635.jpg,,,,,,,
1641,6.52,high,3,1641.jpg,,,,,,,
1644,3.62,low,2,1644.jpg,,,,,,,
1645,6.37,high,3,1645.jpg,,,,,,,
1651,4.42,low,2,1651.jpg,,,,,,,
1653,3.55,low,2,1653.jpg,,,,,,,
1655,4.2,low,2,1655.jpg,,,,,,,
1656,4.32,low,2,1656.jpg,,,,,,,
1657,3.88,low,2,1657.jpg,,,,,,,
1659,3.91,low,2,1659.jpg,,,,,,,
1665,4.14,low,2,1665.jpg,,,,,,,
1671,4.35,low,2,1671.jpg,,,,,,,
1675,4.41,low,2,1675.jpg,,,,,,,
1677,7.75,high,4,1677.jpg,,,,,,,
1680,4,low,2,1680.jpg,,,,,,,
1681,3.5,low,2,1681.jpg,,,,,,,
1685,6.44,high,3,1685.jpg,,,,,,,
1687,4.22,low,2,1687.jpg,,,,,,,
1695,3.93,low,2,1695.jpg,,,,,,,
1707,6.32,high,3,1707.jpg,,,,,,,
1717,4.27,low,2,1717.jpg,,,,,,,
1731,6.31,high,3,1731.jpg,,,,,,,
1732,6.77,high,3,1732.jpg,,,,,,,
1736,6.46,high,3,1736.jpg,,,,,,,
1740,7.23,high,4,1740.jpg,,,,,,,
1743,7.04,high,4,1743.jpg,,,,,,,
1744,7.35,high,4,1744.jpg,,,,,,,
1757,6.51,high,3,1757.jpg,,,,,,,
1758,4.22,low,2,1758.jpg,,,,,,,
1767,4,low,2,1767.jpg,,,,,,,
1781,4.38,low,2,1781.jpg,,,,,,,
1789,3.72,low,2,1789.jpg,,,,,,,
1795,3.27,low,2,1795.jpg,,,,,,,
1800,6.61,high,3,1800.jpg,,,,,,,
1801,4.34,low,2,1801.jpg,,,,,,,
1810,3.61,low,2,1810.jpg,,,,,,,
1826,3.65,low,2,1826.jpg,,,,,,,
1827,3.45,low,2,1827.jpg,,,,,,,
1830,3.65,low,2,1830.jpg,,,,,,,
1832,4.25,low,2,1832.jpg,,,,,,,
1836,6.51,high,3,1836.jpg,,,,,,,
1837,3.45,low,2,1837.jpg,,,,,,,
1838,4.17,low,2,1838.jpg,,,,,,,
1839,4.11,low,2,1839.jpg,,,,,,,
1849,4.12,low,2,1849.jpg,,,,,,,
1855,7.32,high,4,1855.jpg,,,,,,,
1860,6.49,high,3,1860.jpg,,,,,,,
1862,6.49,high,3,1862.jpg,,,,,,,
1867,4.41,low,2,1867.jpg,,,,,,,
1871,4.26,low,2,1871.jpg,,,,,,,
1891,6.34,high,3,1891.jpg,,,,,,,
1895,3.75,low,2,1895.jpg,,,,,,,
1896,3.95,low,2,1896.jpg,,,,,,,
1903,6.7,high,3,1903.jpg,,,,,,,
1906,3.07,low,2,1906.jpg,,,,,,,
1908,3.82,low,2,1908.jpg,,,,,,,
1912,8.14,high,4,1912.jpg,,,,,,,
1919,4.12,low,2,1919.jpg,,,,,,,
1921,4.26,low,2,1921.jpg,,,,,,,
1925,4.42,low,2,1925.jpg,,,,,,,
1930,7.3,high,4,1930.jpg,,,,,,,
1931,6.5,high,3,1931.jpg,,,,,,,
1932,4.21,low,2,1932.jpg,,,,,,,
1935,6.99,high,3,1935.jpg,,,,,,,
1938,4.06,low,2,1938.jpg,,,,,,,
1941,3.85,low,2,1941.jpg,,,,,,,
1942,6.45,high,3,1942.jpg,,,,,,,
1947,7.08,high,4,1947.jpg,,,,,,,
1948,6.58,high,3,1948.jpg,,,,,,,
1950,4.14,low,2,1950.jpg,,,,,,,
1955,6.36,high,3,1955.jpg,,,,,,,
1959,6.64,high,3,1959.jpg,,,,,,,
1971,4.02,low,2,1971.jpg,,,,,,,
1983,4.09,low,2,1983.jpg,,,,,,,
2013,6.84,high,3,2013.jpg,,,,,,,
2027,3.73,low,2,2027.jpg,,,,,,,
2030,3.81,low,2,2030.jpg,,,,,,,
2044,6.54,high,3,2044.jpg,,,,,,,
2053,4.41,low,2,2053.jpg,,,,,,,
2062,4.44,low,2,2062.jpg,,,,,,,
2078,4.18,low,2,2078.jpg,,,,,,,
2081,4.46,low,2,2081.jpg,,,,,,,
2094,6.45,high,3,2094.jpg,,,,,,,
2097,6.51,high,3,2097.jpg,,,,,,,
2100,4.29,low,2,2100.jpg,,,,,,,
2106,4.17,low,2,2106.jpg,,,,,,,
2113,2.99,low,1,2113.jpg,,,,,,,
2129,6.39,high,3,2129.jpg,,,,,,,
2142,3.8,low,2,2142.jpg,,,,,,,
2148,4.41,low,2,2148.jpg,,,,,,,
2151,6.6,high,3,2151.jpg,,,,,,,
2155,7.16,high,4,2155.jpg,,,,,,,
2159,6.67,high,3,2159.jpg,,,,,,,
2163,6.57,high,3,2163.jpg,,,,,,,
2164,3.63,low,2,2164.jpg,,,,,,,
2172,6.51,high,3,2172.jpg,,,,,,,
2177,6.43,high,3,2177.jpg,,,,,,,
2181,3.94,low,2,2181.jpg,,,,,,,
2182,7.13,high,4,2182.jpg,,,,,,,
2183,4.43,low,2,2183.jpg,,,,,,,
2186,6.58,high,3,2186.jpg,,,,,,,
2188,6.48,high,3,2188.jpg,,,,,,,
2190,6.67,high,3,2190.jpg,,,,,,,
2204,3.73,low,2,2204.jpg,,,,,,,
2206,7.92,high,4,2206.jpg,,,,,,,
2213,6.61,high,3,2213.jpg,,,,,,,
2217,3.74,low,2,2217.jpg,,,,,,,
2224,6.36,high,3,2224.jpg,,,,,,,
2231,4.04,low,2,2231.jpg,,,,,,,
2233,4.12,low,2,2233.jpg,,,,,,,
2235,4.33,low,2,2235.jpg,,,,,,,
2241,3.6,low,2,2241.jpg,,,,,,,
2275,4.13,low,2,2275.jpg,,,,,,,
2276,7.23,high,4,2276.jpg,,,,,,,
2278,6.79,high,3,2278.jpg,,,,,,,
2280,7.29,high,4,2280.jpg,,,,,,,
2289,4.16,low,2,2289.jpg,,,,,,,
2301,4.23,low,2,2301.jpg,,,,,,,
2303,4.14,low,2,2303.jpg,,,,,,,
2304,3.5,low,2,2304.jpg,,,,,,,
2310,6.52,high,3,2310.jpg,,,,,,,
2322,4.32,low,2,2322.jpg,,,,,,,
2325,3.49,low,2,2325.jpg,,,,,,,
2329,7.11,high,4,2329.jpg,,,,,,,
2332,6.33,high,3,2332.jpg,,,,,,,
2334,4.05,low,2,2334.jpg,,,,,,,
2337,3.93,low,2,2337.jpg,,,,,,,
2343,4.31,low,2,2343.jpg,,,,,,,
2346,3.83,low,2,2346.jpg,,,,,,,
2347,6.78,high,3,2347.jpg,,,,,,,
2349,3.48,low,2,2349.jpg,,,,,,,
2350,3.77,low,2,2350.jpg,,,,,,,
2372,6.9,high,3,2372.jpg,,,,,,,
2374,6.81,high,3,2374.jpg,,,,,,,
2375,6.54,high,3,2375.jpg,,,,,,,
2379,6.82,high,3,2379.jpg,,,,,,,
2382,6.69,high,3,2382.jpg,,,,,,,
2383,4.01,low,2,2383.jpg,,,,,,,
2386,4.45,low,2,2386.jpg,,,,,,,
2388,3.75,low,2,2388.jpg,,,,,,,
2397,3.84,low,2,2397.jpg,,,,,,,
2402,3.38,low,2,2402.jpg,,,,,,,
2405,2.85,low,1,2405.jpg,,,,,,,
2407,3.55,low,2,2407.jpg,,,,,,,
2421,4.3,low,2,2421.jpg,,,,,,,
2438,4.07,low,2,2438.jpg,,,,,,,
2449,2.17,low,1,2449.jpg,,,,,,,
2450,4.14,low,2,2450.jpg,,,,,,,
2451,6.86,high,3,2451.jpg,,,,,,,
2457,3.79,low,2,2457.jpg,,,,,,,
2470,3.77,low,2,2470.jpg,,,,,,,
2473,4.2,low,2,2473.jpg,,,,,,,
2477,6.54,high,3,2477.jpg,,,,,,,
2478,3.96,low,2,2478.jpg,,,,,,,
2489,3.78,low,2,2489.jpg,,,,,,,
2491,3.18,low,2,2491.jpg,,,,,,,
2496,6.74,high,3,2496.jpg,,,,,,,
2499,4.13,low,2,2499.jpg,,,,,,,
2508,4.3,low,2,2508.jpg,,,,,,,
2511,4.26,low,2,2511.jpg,,,,,,,
2512,4.12,low,2,2512.jpg,,,,,,,
2516,4.16,low,2,2516.jpg,,,,,,,
2525,4.15,low,2,2525.jpg,,,,,,,
2526,3.41,low,2,2526.jpg,,,,,,,
2528,3.57,low,2,2528.jpg,,,,,,,
2530,2.91,low,1,2530.jpg,,,,,,,
2532,6.52,high,3,2532.jpg,,,,,,,
2534,6.6,high,3,2534.jpg,,,,,,,
2538,6.72,high,3,2538.jpg,,,,,,,
2541,3.74,low,2,2541.jpg,,,,,,,
2543,4.01,low,2,2543.jpg,,,,,,,
2557,4.39,low,2,2557.jpg,,,,,,,
2558,7.06,high,4,2558.jpg,,,,,,,
2559,3.28,low,2,2559.jpg,,,,,,,
2563,4.42,low,2,2563.jpg,,,,,,,
2578,6.69,high,3,2578.jpg,,,,,,,
2579,3.69,low,2,2579.jpg,,,,,,,
2580,6.43,high,3,2580.jpg,,,,,,,
2581,4.17,low,2,2581.jpg,,,,,,,
2583,3,low,2,2583.jpg,,,,,,,
2585,4.18,low,2,2585.jpg,,,,,,,
2586,4.34,low,2,2586.jpg,,,,,,,
2587,6.32,high,3,2587.jpg,,,,,,,
2589,2.45,low,1,2589.jpg,,,,,,,
2591,4.41,low,2,2591.jpg,,,,,,,
2593,3.93,low,2,2593.jpg,,,,,,,
2596,4.21,low,2,2596.jpg,,,,,,,
2598,2.99,low,1,2598.jpg,,,,,,,
2607,4.41,low,2,2607.jpg,,,,,,,
2610,4.06,low,2,2610.jpg,,,,,,,
2626,4.32,low,2,2626.jpg,,,,,,,
2633,4.44,low,2,2633.jpg,,,,,,,
2642,4.04,low,2,2642.jpg,,,,,,,
2649,6.99,high,3,2649.jpg,,,,,,,
2657,4.16,low,2,2657.jpg,,,,,,,
2658,3.34,low,2,2658.jpg,,,,,,,
2665,6.32,high,3,2665.jpg,,,,,,,
2691,4.1,low,2,2691.jpg,,,,,,,
2701,6.88,high,3,2701.jpg,,,,,,,
2705,7.26,high,4,2705.jpg,,,,,,,
2709,6.94,high,3,2709.jpg,,,,,,,
2732,7.45,high,4,2732.jpg,,,,,,,
2733,6.39,high,3,2733.jpg,,,,,,,
2742,4,low,2,2742.jpg,,,,,,,
2752,4.29,low,2,2752.jpg,,,,,,,
2757,4.38,low,2,2757.jpg,,,,,,,
2758,4.04,low,2,2758.jpg,,,,,,,
2760,4.24,low,2,2760.jpg,,,,,,,
2762,6.86,high,3,2762.jpg,,,,,,,
2766,6.48,high,3,2766.jpg,,,,,,,
2767,3.85,low,2,2767.jpg,,,,,,,
2785,3.77,low,2,2785.jpg,,,,,,,
2791,4.25,low,2,2791.jpg,,,,,,,
2795,3.93,low,2,2795.jpg,,,,,,,
2803,6.89,high,3,2803.jpg,,,,,,,
2805,4.05,low,2,2805.jpg,,,,,,,
2812,6.55,high,3,2812.jpg,,,,,,,
